id,course_id,course_name,passage,question_image,explanation,instruction,question_type,question_text,option_1_text,option_1_image,option_2_text,option_2_image,option_3_text,option_3_image,option_4_text,option_4_image,answer,year
37910,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>A wireless mobile telephone which can be used to transmit written and verbal messages to all parts of the world is</span></p>,MTN,,GSM,,NTA,,AIT,,2,2016
37911,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One major disadvantage of information communication technology is that it</span></p>,Brings peace and harmony,,Brings new ideas and progress,,Displays pictures of immoral men and women who are naked (pornography),,Provide entertainment,,2,2016
37912,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One of the following is NOT a way of alleviating poverty in our society</span></p>,Education,,Employment,,Election,,Acquisition skills,,2,2016
37913,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The arm of the government that is nearest to people is the</span></p>, Local Government ,,State Government ,,Federal Government ,,Confederal Government ,,2,2016
37914,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Conflicts in the world can be best resolved through</span></p>, international relations ,,Self help Projects. ,,War against terrorists ,,National relations. ,,2,2016
37915,30,SOCIAL STUDIES,,,,,multiple_choice,"<p><span>In Democratic Government, power is obtained through</span></p>",Coup ,,Election,,Nomination,, Rotation ,,2,2016
37916,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The bank</span><span> is referred</span><span> as </span><span>the bankers' bank.</span></p>, First ,,Central,,Union,,Fidelity,,2,2016
37917,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The major role of a Newspaper is </span></p>,Commercial advertisement ,,Praising the government ,,Criticizing the government ,,Enlightenment and education ,,2,2017
37918,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which of these actions can cause conflict in the society?</span></p>, Loyalty to your country ,,Equal opportunity to all ,,Selective justice to people ,,Honesty in doing things ,,2,2017
37919,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The instrument used in measuring air pressure is</span></p>,Cup anemometer,,Barometer,,Thermometer,,hygrometer,,2,2017
37920,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One these is NOT a problem of farming</span></p>,Erosion ,,Drought,,Pest,,Crop rotation,,2,2017
37921,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>These factors cause population change EXCEPT</span></p>,Increase in birth rate ,,Census ,,Immigration,,Increase in death rate,,2,2017
37922,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which of these is an organ </span><span>of </span><span>government?</span></p>,Executive,,Police,,Army,,boy scout,,2,2017
37923,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One method of reviving our culture is through the building of</span></p>, Dams ,,Museums,,industries,,Hospitals,,2,2017
37924,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One of the objectives of sex </span><span>education is to</span></p>,Encourage youths to have sex ,,To make children aware of the consequences of pre-marital sex,,Teach them to watch pornographic pictures,,Encourage only women to have sex,,2,2017
37925,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Nigerian technological growth is hindered by the following factors EXCEPT.</span></p>,Our quest for foreign goods rather than home- made goods,,High rate of corruption among people holding public offices,, Favoritism in offering jobs. ,,Devoted skilled workers ,,2,2017
37926,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The planting of crops and rearing of animals at the same time is referred to as</span></p>,Mixed farming ,,Dairy farming ,, Mixed cropping ,, Livestock farming ,,2,2017
37927,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>A place we can find water in the desert is known as</span></p>,Lake,,Ocean,,River,,Oasis,,2,2017
37928,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Man can survive and adjust in most </span><span>environments</span><span> because of his â€¦.. nature</span></p>,Racial,,Diverse,,Unique,,universal,,2,2018
37929,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Information in the traditional society is disseminated through</span></p>,Telephone ,, Town crier ,,Newspaper ,,Television ,,2,2018
37930,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The main function of a religious institution is to</span></p>, Encourage us to give money to the Poor,,Make us go to church ,,Declare Jihad ,,Control the behavior of ,,2,2018
37931,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Members</span><span> of the society Which of these is NOT a quality of Love?</span></p>,Caring ,,Sharing,,Exchange ,,Being dishonest,,2,2018
37932,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The blacksmith produces all </span><span>EXCEPT</span></p>, Knives ,,Cutlass,,Mortar,,Digger,,2,2018
37933,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Traditional science and technology includes the following EXCEPT</span></p>,Blacksmithing ,,Pottery ,, Computer ,,Wooden gong ,,2,2018
37934,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One major advantage of rail transportation in Nigeria is</span></p>,It links all state to the sea port ,,It is the cheapest to construct ,, It carries heavy or bulky goods ,, It does not require special routes ,,2,2018
37935,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which</span><span> body controls trafficking in </span><span>children</span><span> and women in </span><span>Nigeria?</span></p>,NDLEA ,,NAPTIP,,NAFDAC ,,NDIE,,2,2018
37936,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One of the factors responsible for human trafficking is</span></p>, Employment ,,Education ,,Poverty ,,Wealth ,,2,2018
37937,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>One distinguishing feature that differentiates Central banks from</span><span> other banks is</span></p>, Printing and minting currency notes and coins,,Giving loans to customers ,,Acting as referee to customers ,, Keeping valuables for their ,,2,2018
37938,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which of the following is NOT among the six Geo-political zones in Nigeria?</span></p>,North east ,,North south ,,North central ,,South east ,,2,2018
37939,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Inter- communal conflict is </span><span>best </span><span>resolved through</span></p>,Violence ,, Dialogue ,, War ,, Court appeal ,,2,2018
37940,30,SOCIAL STUDIES,,,,,multiple_choice,"<p><span>Crop farming, using Water pumped from dams or rivers is ....... farming </span></p>",Irrigation ,,Pastoral ,,Plantation ,,Arable ,,2,2018
37941,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which of the following is an example of traditional science and technology</span></p>,Blacksmithing ,,Land tenure ,,Transhumance ,,Use of manure ,,2,2018
37942,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The first prime minister of Nigeria was</span></p>,Sir Ahmadu Bello ,,Sir Herbert Macauley ,, Dr. Nnamdi Azikiwe ,, Sir Tafawa Balewa ,,2,2018
37943,30,SOCIAL STUDIES,,,,,multiple_choice,"<p><span>At the state level, the executive arm of government is headed by the</span></p>",President,,Governor,,Chairman,,minister,,2,2018
37944,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The</span><span> highest court of law in </span><span>Nigeria is</span></p>,Sharia court of appeal,,Federal high court ,, Federal court of appeal ,,Supreme court ,,2,2018
37945,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The institution that deals with production and use of resources is called ~ institution</span></p>,Health ,,Political ,, Legal ,,Economic ,,2,2018
37946,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>The form of Government </span><span>we have in Nigeria now is'</span></p>,Military ,, Charismatic ,,Oligarchy ,,Democracy ,,2,2018
37947,30,SOCIAL STUDIES,,,,,multiple_choice,<p><span>Which of these Institutions can be </span><span>used to check the excesses of others?</span></p>, Economic ,,Legal,,Health,,Teaching,,2,2018
37960,30,SOCIAL STUDIES,,,,,short_answer,<p><span>What is a social studies</span></p>,,,,,,,,,Social studies is the study of of man in his social and physical environment.It is the study of how man uses his technology to meet his needs and solve his problems.It is the study of contemporary social issues both nationally and internationally.It is citizenship education.,2020
37961,30,SOCIAL STUDIES,,,,,short_answer,<p><span>Mention two methods used in the study of social studies</span></p>,,,,,,,,,"Field trip (excursion), enquiry method, observation, discussion",2020
37962,30,SOCIAL STUDIES,,,,,short_answer,<p><span>List four characteristics of culture</span></p>,,,,,,,,,Culture is dynamicIt is learnedIt is universalIt is uniqueIt varies from place to placeIt is adaptiveIt is sharedCulture is created,2020
37963,30,SOCIAL STUDIES,,,,,short_answer,<p><span>What is the full meaning of  ICT</span></p>,,,,,,,,,I.C.T means information and communication technology,2020
37964,30,SOCIAL STUDIES,,,,,short_answer,<p><span>Mention two advantages of ICT</span></p>,,,,,,,,,It encourages communication with peopleIt saves timeIt enhances or encourages researchIt facilitates business transaction e.g. bankingIt provides entertainment,2020
37965,30,SOCIAL STUDIES,,,,,short_answer,<p><span>State two </span><span>dis</span><span> advantages of ICT</span></p>,,,,,,,,,Browsing of anti-social sites on internetIt encourages crime and fraudIt encourages the watching of immoral filmsIt unduly occupies the child in watching films and laying games to the detriment of reading their book,2020
37966,30,SOCIAL STUDIES,,,,,short_answer,<p><span>What is culture</span></p>,,,,,,,,,Culture is the totality of the ways of life of a people,2011
37967,30,SOCIAL STUDIES,,,,,short_answer,<p><span>List four fundamental rights of a citizen of Nigeria</span></p>,,,,,,,,,Freedom of speech.Freedom of association.Freedom of worship. Right to vote and be voted for.Right of life.Freedom of movement. Right to own properties.Right to justice and fair hearing.Right of residence in any part of the country.,2011
37968,30,SOCIAL STUDIES,,,,,short_answer,<p><span>State two factors that can promote national unity and integration</span></p>,,,,,,,,,Establishment of the N.Y.S.CPromote of state Trade fairsEstablishment of unity schools or federal Government collegesPromotes of inter-ethnic marriagesOrganization of National sports competition secondary school sports and sports for tertiary institutionEstablishment of the federal character commission,2011
37969,30,SOCIAL STUDIES,,,,,short_answer,<p><span>Mention two types of conflicts </span></p>,,,,,,,,,Peaceful or non- violent conflict,2011
37970,30,SOCIAL STUDIES,,,,,short_answer,<p><span>Identify four causes of conflicts in our society</span></p>,,,,,,,,,DisagreementDisobedienceEthnic rivalryMarginalizationInefficiencySelfishnessfavouritism,2011
37971,30,SOCIAL STUDIES,,,,,short_answer,<p><span>List two importance of peace in our society</span></p>,,,,,,,,,Peace helps to prolong the life of individual in the societyIt provides a conducive atmosphere for cordial relationship among peopleIt leads to political and social stability among citizen of the countryIt helps to sustain both human and material resourcesPeace encourages population growth,2011
